username,n_comments_full,n_comments_truncated,trunc_top1_original_L0,trunc_top3_original_L0,trunc_top1_anonymized_L3,trunc_top3_anonymized_L3,full_top1_original_L0,full_top3_original_L0,full_top1_anonymized_L3,full_top3_anonymized_L3,trunc_top1_L0_ct,trunc_top3_L0_ct,trunc_top1_L3_ct,trunc_top3_L3_ct,full_top1_L0_ct,full_top3_L0_ct,full_top1_L3_ct,full_top3_L3_ct
CrimsonCondor,16,16,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.000000,0.500000,1/2,1/2,1/2,1/2,1/2,1/2,0/2,1/2
DawnDandelion,16,16,1.000000,1.000000,0.400000,1.000000,1.000000,1.000000,0.600000,1.000000,5/5,5/5,2/5,5/5,5/5,5/5,3/5,5/5
ElysiumDreamer,16,16,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2/2,2/2,2/2,2/2,2/2,2/2,2/2,2/2
LostAstrologer,16,16,1.000000,1.000000,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,3/3,3/3,2/3,3/3,2/3,3/3,2/3,3/3
MirthfulQuill,16,16,0.750000,0.750000,0.500000,1.000000,0.750000,1.000000,0.750000,1.000000,3/4,3/4,2/4,4/4,3/4,4/4,3/4,4/4
PassionPanda,16,16,0.857143,1.000000,0.857143,1.000000,1.000000,1.000000,0.714286,0.857143,6/7,7/7,6/7,7/7,7/7,7/7,5/7,6/7
SandcastlesInAir,16,16,1.000000,1.000000,0.750000,0.750000,1.000000,1.000000,0.750000,0.750000,4/4,4/4,3/4,3/4,4/4,4/4,3/4,3/4
SummerSolstice,16,16,0.800000,1.000000,0.800000,1.000000,1.000000,1.000000,0.800000,1.000000,4/5,5/5,4/5,5/5,5/5,5/5,4/5,5/5
SunKissedMyth,16,16,1.000000,1.000000,0.000000,0.500000,1.000000,1.000000,0.500000,0.500000,2/2,2/2,0/2,1/2,2/2,2/2,1/2,1/2
TimelyTeddy,16,16,0.666667,1.000000,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,2/3,3/3,3/3,3/3,3/3,3/3,1/3,3/3
TumbleweedTurtle,16,16,1.000000,1.000000,0.666667,0.666667,0.666667,1.000000,0.666667,0.666667,3/3,3/3,2/3,2/3,2/3,3/3,2/3,2/3
WanderingWolf,16,16,0.800000,1.000000,0.600000,1.000000,0.800000,1.000000,0.800000,1.000000,4/5,5/5,3/5,5/5,4/5,5/5,4/5,5/5
CelestialBard,15,15,0.666667,0.833333,0.666667,0.666667,1.000000,1.000000,0.666667,0.666667,4/6,5/6,4/6,4/6,6/6,6/6,4/6,4/6
DaintyDolphin,15,15,,,,,,,,,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
DreamyDingo,15,15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4
EtherealEcho,15,15,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0/1,1/1,0/1,0/1,1/1,1/1,0/1,0/1
FieryPheonix,15,15,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.500000,0.500000,2/2,2/2,1/2,1/2,2/2,2/2,1/2,1/2
FireflyFlirt,15,15,0.857143,1.000000,0.428571,0.571429,0.857143,1.000000,0.571429,0.571429,6/7,7/7,3/7,4/7,6/7,7/7,4/7,4/7
GraciousGossamer,15,15,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1/1,1/1,0/1,0/1,0/1,1/1,0/1,0/1
JadeJuggler,15,15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1
SeaSerpentShadow,15,15,0.333333,1.000000,0.333333,0.666667,0.333333,1.000000,0.333333,1.000000,1/3,3/3,1/3,2/3,1/3,3/3,1/3,3/3
SupernovaScribe,15,15,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1/1,1/1,0/1,1/1,1/1,1/1,0/1,0/1
WhirlwindWolf,15,15,0.750000,0.750000,0.750000,1.000000,0.750000,0.750000,0.750000,1.000000,3/4,3/4,3/4,4/4,3/4,3/4,3/4,4/4
WombatWonderland,15,15,1.000000,1.000000,0.600000,0.600000,0.600000,0.800000,0.800000,1.000000,5/5,5/5,3/5,3/5,3/5,4/5,4/5,5/5
AndromedaAdventurer,14,14,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,2/3,3/3,2/3,3/3,2/3,3/3,2/3,3/3
BoomerangButterfly,14,14,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2/2,2/2,2/2,2/2,2/2,2/2,2/2,2/2
BopsieBunny,14,14,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0/1,0/1,0/1,0/1,0/1,1/1,0/1,0/1
CelestialCipher,14,14,0.666667,1.000000,0.333333,0.666667,0.666667,1.000000,0.333333,0.666667,2/3,3/3,1/3,2/3,2/3,3/3,1/3,2/3
CroissantCrusader,14,14,0.666667,1.000000,1.000000,1.000000,0.666667,1.000000,0.333333,1.000000,2/3,3/3,3/3,3/3,2/3,3/3,1/3,3/3
DuskDancer,14,14,0.666667,1.000000,0.500000,0.833333,0.666667,0.833333,0.833333,0.833333,4/6,6/6,3/6,5/6,4/6,5/6,5/6,5/6
GlitterGlacier,14,14,0.666667,0.666667,0.000000,0.000000,0.666667,0.666667,0.333333,0.333333,2/3,2/3,0/3,0/3,2/3,2/3,1/3,1/3
JellybeanJamboree,14,14,0.750000,1.000000,1.000000,1.000000,0.750000,1.000000,0.750000,1.000000,3/4,4/4,4/4,4/4,3/4,4/4,3/4,4/4
LunarLantern,14,14,0.666667,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3
MoonbeamMoose,14,14,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2/2,2/2,2/2,2/2,2/2,2/2,2/2,2/2
